ECLI,Ref_ECLI,Anchor text,Paragraph
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"Eiser tot cassatie - verder te noemen: de curator - heeft bij exploiten van 29 juni 1992 verweerders in cas-satie B verder gezamenlijk te noemen: Montedison c.s. - gedagvaard voor de Rechtbank te Utrecht en gevorderd Montedison c.s., hoofdelijk des dat de een betalende de anderen bevrijd zullen zijn, te veroordelen om aan de curator te betalen het tekort in het faillissement van J. Domp B.V., althans schadevergoeding, een en ander na-der op te maken bij staat en te vereffenen volgens de wet, kosten rechtens. In de loop van de procedure heeft de curator zijn eis vermeerderd met wettelijke rente."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"Na een incidentele conclusie zijdens Montedison c.s. tot oproeping in vrijwaring van [oud-werknemer] […], wonende te [woonplaats] aan de [adres], heeft de Rechtbank bij vonnis van   14 juli 1993 hen toegestaan [oud-werknemer] voornoemd in vrij-wa-ring op te roepen."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,Vervolgens hebben Montedison c.s. in de hoofdzaak de vordering bestreden.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"De Rechtbank heeft bij vonnis van 7 augustus 1996 Montedison veroordeeld om aan de curator te betalen bij wege van schadevergoeding een bedrag dat overeenstemt met het tekort in het faillissement van J. Domp B.V., op te maken bij staat en te vereffenen volgens de wet, en de vordering tot betaling van wettelijke rente afgewezen."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,Tegen dit vonnis heeft Montedison in de zaak met rolnummer 97/056 - voor zover de vordering tegen haar was toegewezen - hoger beroep ingesteld bij het Gerechtshof te Amsterdam. De curator heeft incidenteel hoger beroep ingesteld.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,Op vordering van Montedison en de curator heeft het Hof bij incidenteel arrest van 25 juni 1998 beide zaken gevoegd.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"Bij arrest van 26 november 1998 heeft het Hof op het principaal appel van Montedison het bestreden vonnis ver-nietigd ten aanzien van de daarin vervatte veroordelingen van Montedison en de vordering van de curator alsnog af-gewezen, en op het incidenteel appel dit appel verworpen. Op het appel van de curator heeft het Hof het bestreden vonnis bekrachtigd."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,	Tegen het arrest van het Hof heeft de curator beroep in cassatie ingesteld. Montedison c.s. hebben voorwaarde-lijk incidenteel cassatieberoep ingesteld. De cassatie-dagvaarding en de conclusie van antwoord tevens houdende het voorwaardelijk incidenteel beroep zijn aan dit arrest gehecht en maken daarvan deel uit.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"De zaak is voor partijen toegelicht door hun advocaten en voor Montedison c.s. mede door mr M.G.C.M. Peeters, advocaat bij de Hoge Raad."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,De curator heeft bij de schriftelijke toelichting stukken in het geding gebracht. Montedison c.s. hebben bij akte terzijdelegging van deze stukken gevorderd.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,(iii)	Montedison hield vanaf 22 december 1980 alle aan-de-len in Domp.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(v)	In dienst van Montedison was [oud-werknemer], sinds  1 juli 1984 als procuratiehouder. [Oud-werknemer] was feitelijk werkzaam bij Domp, waarvan hij na 1 januari 1988 ook zo-wel procuratiehouder was als commissaris."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,(vi)	In de loop van 1988 heeft Montedison besloten haar financiële belang in Domp te verminderen en haar aandelen in Domp te verkopen.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(vii)	Op 1 januari 1988 had Montedison een belang van    / 7.820.000,-- in Domp, zulks in de vorm van aandelenkapi-taal ter waarde van nominaal 1 miljoen gulden, een geld-lening van 2 miljoen gulden en een garantstelling ter hoogte van / 4.820.000,--. In september 1988 heeft     Montedison nog een aanvullende faciliteit aan Domp ver-strekt van 3 miljoen gulden."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(viii)	Op 30 september 1988 zijn de aandelen van Montedison in Domp verkocht en geleverd aan Fender B.V. De enige bestuurster en aandeelhoudster van deze vennoot-schap was de echtgenote van [oud-werknemer]. De koopprijs bedroeg / 4.799.000,--. Deze koopprijs is betaald. Het daartoe benodigde geld werd verstrekt door Top Music B.V. (later geheten: Fender Finance B.V.). Top Music B.V. had in de loop van september 1988 een bedrag van / 6.050.000,-- geleend van Domp."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,(xi)	Op 5 oktober 1988 heeft Montedison een bedrag van  4 miljoen gulden ontvangen van Domp als betaling op de door Montedison aan Domp ter leen verstrekte bedragen.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(xii)	[Oud-werknemer] heeft aan [verweerder 2], die in 1988 statutair be-stuurder van Montedison was, stukken doen toekomen van   16 december 1987 en 29 maart 1988, waarin een voorstel wordt gedaan voor een buy-out, van Montedison uit Domp. In de op 16 december 1987 gedateerde stukken is onder meer te lezen:"
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(xiii)Een taxatierapport van Dechesne, van den Boom en Co. (registeraccountants) van 31 maart 1988 betreffende de waardering van de aandelen van Montedison in Domp, houdt onder meer in:"
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(xiv)	Bij besluit van de algemene vergadering van aandeel-houders van Domp van 23 september 1988 - waarbij de enige aandeelhouder, Montedison, werd vertegenwoordigd door [verweerder 2] - is de reserve van Domp vastgesteld op ruim / 3.788.000,--. Er is toen geen besluit tot dividenduit-ke-ring genomen."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"(xv)	In februari 1989 heeft Montedison aan Domp een be-drag van / 1.800.000,-- geleend."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,(xvii)	[Verweerder 1] en [verweerder 3] waren in 1988 statutair be-stuurders van Montedison. 
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"3.2	De curator heeft in dit geding gevorderd dat Montedison c.s. hoofdelijk zullen worden veroordeeld om aan de curator te betalen het tekort in het faillissement van Domp, althans tot vergoeding van schade op te maken bij staat. Deze vordering heeft de curator erop gegrond dat Montedison bij het terugbrengen van het belang van Montedison in Domp en bij het overdragen van haar aande-len aan Fender B.V. een bepalende rol heeft gespeeld. Montedison had, volgens de curator, door haar machtsposi-tie de leiding van Domp in handen. Aldus heeft Montedison zich haar lening aan Domp gedeeltelijk laten terugbetalen en bovendien / 4.799.000,-- aan het eigen vermogen van Domp onttrokken. Door deze handelingen is het eigen ver-mogen van Domp negatief geworden. Montedison en/of [oud-werknemer] hebben volgens de curator onrechtmatig gehandeld en zijn gehouden de daardoor ontstane schade te vergoeden. Subsi-diair heeft de curator aangevoerd dat Montedison en/of [oud-werknemer] zich, als degenen die feitelijk het beleid binnen Domp bepaalden, hebben schuldig gemaakt aan onbehoorlijk bestuur. Zij zijn op de voet van art. 2:248 BW gehouden het tekort aan te vullen. Voor zover de schade uitslui-tend door [oud-werknemer] zou zijn toegebracht is Montedison daar-voor volgens de curator aansprakelijk als degene in wier dienst [oud-werknemer] was. Meer subsidiair heeft de curator ge-steld dat [oud-werknemer] als commissaris van Domp onvoldoende toezicht heeft gehouden en daarom aansprakelijk is voor het tekort ingevolge art. 2:259 BW en dat Montedison ook hiervoor aansprakelijk is als degene in wier dienst [oud-werknemer] was."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"Montedison heeft, samengevat weergegeven, tot haar verweer aangevoerd dat zij na 30 september 1988 en met name met betrekking tot het besluit van 1 oktober 1988 tot uitkering van het interimdividend en van de vrije reserves, niet verantwoordelijk is. Na 30 september 1988 behoorden de aandelen toe aan Fender B.V. Montedison  heeft geen geld aan Domp onttrokken. De hiervoor in 3.1 onder (ix) en (x) bedoelde terugbetaling op aan Domp ge-leend geld kan volgens Montedison niet als onrechtmatig worden aangemerkt. Montedison is niet aansprakelijk voor door [oud-werknemer] toegebrachte schade omdat deze niet heeft gehandeld als werknemer van Montedison of in haar op-dracht. Na 30 september 1988 heeft [oud-werknemer] zelf de koers van Domp binnen het Fender concern bepaald. Montedison  is daarom niet voor handelingen van [oud-werknemer] aansprakelijk."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"De Rechtbank heeft geoordeeld dat het faillissement van Domp door de hiervoor in 3.1 onder (ix) en (x) be-doelde betalingen onvermijdelijk is geworden. Montedison  handelde daarbij onrechtmatig nu zij ervan op de hoogte was dat de financiële positie van Domp zodanig was dat de sterke vermindering van het eigen vermogen door de aande-lentransactie in combinatie met de terugbetaling op de geldlening niet kon worden opgevangen. De Rechtbank ver-oordeelde Montedison tot betaling aan de curator. De vor-dering tegen [verweerder 1], [verweerder 2] en [verweerder 3] heeft de Rechtbank afgewezen omdat de curator omtrent hun persoon-lijke betrokkenheid te weinig had gesteld. De Rechtbank heeft de vordering van de curator afgewezen voor zover deze was gegrond op art. 2:248 BW omdat Montedison naar het oordeel van de Rechtbank slechts als aandeelhouder en schuldeiser had gehandeld en geen bestuursdaden had verricht als feitelijke beleidsbepaler in de zin van art. 2:248 lid 7 BW."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"Het Hof heeft de door de Rechtbank toegewezen vorde-ringen van de curator echter alsnog afgewezen. Het heeft, kort samengevat, geoordeeld dat niet kan worden gezegd dat Montedison onrechtmatig heeft gehandeld. Het heeft Montedison niet aansprakelijk geacht voor handelingen van [oud-werknemer]. Ook voor zover de vordering van de curator was gegrond op onbehoorlijk bestuur heeft het Hof haar afge-wezen."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.5.2	Onderdeel 4b - onderdeel 4a komt hierna aan de     orde - acht onbegrijpelijk dat het Hof in zijn rov. 4.22 uit de mededeling van de curator bij pleidooi dat - als     gevolg van een schikking tussen Montedison, ABN-AMRO en Transamerica - de vorderingen van ABN-AMRO en Transamerica in het faillssement van Domp zullen worden ingetrokken, afleidt dat de curator het door hem omtrent de financiering door Transamerica gestelde niet hand-haaft. Dit oordeel is echter in het licht van de onder 16 van de inleidende dagvaarding gegeven toelichting, die sluit met de opmerking dat het vanzelf spreekt dat voor zover een van de twee partijen (Transamerica en ABN-AMRO) niet wordt voldaan zij een aanmerkelijke concurrente vor-dering in het faillissement van Domp houdt, niet onbe-grijpelijk. Het onderdeel faalt derhalve."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.8.4	Uit het voorgaande volgt dat ook rov. 4.17 geen stand houdt. In deze rechtsoverweging komt het Hof, voortbouwend op de rechtsoverwegingen 4.8 - 4.16, tot de gevolgtrekking dat een onrechtmatige daad van Montedison niet vaststaat. Voor zover onderdeel 7a ook dit oordeel bestrijdt is het derhalve eveneens gegrond."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,4.9	Onderdeel 8 is gericht tegen 's Hofs rov. 4.18. Daarin oordeelt het Hof dat het aan het bewijsaanbod van de curator ten aanzien van de wetenschap van Montedison of [oud-werknemer] als niet ter zake dienend voorbijgaat. In deze rechtsoverweging bouwt het Hof voort op zijn rov. 4.17 waarin het oordeelt dat een onrechtmatige daad van Montedison niet vaststaat. Nu dit oordeel geen stand houdt kan ook 's Hofs rov. 4.18 evenmin stand houden. Het onderdeel treft derhalve doel.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.10	Onderdeel 9, dat zich richt tegen 's Hofs oordeel in zijn rov. 4.13, kort gezegd, dat uit de omstandigheid dat Montedison in het voorjaar van 1989 nog een lening van / 1.800.000,-- aan Domp verstrekte, valt af te leiden dat Montedison in het voorjaar van 1989 geen rekening hield met een faillissement van Domp, is gegrond. De curator heeft in de inleidende dagvaarding onder 18 aangevoerd, samengevat weergegeven, dat Montedison deze lening heeft verstrekt om het tijdvak tussen de onttrekkingen en het faillissement zo lang mogelijk te rekken. Uit hetgeen de curator bij repliek in eerste instantie onder 9, bij me-morie van antwoord in hoger beroep onder 43 en 57 en bij pleidooi in hoger beroep blz. 14, heeft aangevoerd blijkt dat hij dit standpunt niet heeft laten varen. Nu niet blijkt dat het Hof dit betoog van de curator in zijn be-oordeling heeft betrokken is 's Hofs beslissing op dit punt niet naar de eis der wet met redenen omkleed. "
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.11	Eveneens gegrond is onderdeel 10 dat zich richt tegen 's Hofs rov. 4.14 waar het Hof de omstandigheid dat de Amrobank de kredietfaciliteit van / 6.000.000,--, die zij 2 mei 1988 aan Domp had gegeven, op 10 april 1989 heeft vervangen door een van / 11.500.000,--, van belang acht bij de beoordeling van de vraag of Montedison in het najaar van 1988 en het voorjaar van 1989 op de hoogte was van de slechte financiële toestand van Domp. Dit oordeel is onbegrijpelijk. Uit de omstandigheid dat genoemde bank bij het vervangen van de kredietfaciliteit kennelijk niet van de financiële toestand van Domp op de hoogte was, valt immers zonder meer niet af te leiden dat ook Montedison daarvan niet op de hoogte zal zijn geweest."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.13.1 Onderdeel 12a richt zich in de eerste plaats tegen 's Hofs oordeel in rov. 4.24, eerste zin, dat een on-rechtmatige daad van [oud-werknemer] met betrekking tot de uitke-ring aan Montedison op 30 september 1988, al dan niet in combinatie met die op 5 oktober 1988, evenmin als vast-staand kan worden aangenomen als een zodanige onrechtmatige daad van Montedison. Dit oordeel bouwt voort op  's Hofs oordeel in zijn rov. 4.17 dat een onrechtmatige daad van Montedison niet vaststaat. Nu dit laatste oor-deel, naar volgt uit hetgeen hiervoor onder 4.8.4 is overwogen, geen stand houdt kan ook het thans bestreden oordeel van het Hof geen stand houden. Het onderdeel slaagt derhalve in zoverre."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.13.2 Voor zover onderdeel 12a zich voorts richt tegen 's Hofs oordeel in de tweede zin van zijn rov. 4.24, dat de curator niet langer stelt dat [oud-werknemer] een onrechtmatige daad valt te verwijten met betrekking tot de gang van zaken rondom Transamerica, faalt het. Het Hof leidt dit af uit hetgeen het heeft overwogen in zijn rov. 4.22, te weten dat de curator bij de pleidooien heeft meegedeeld dat - als gevolg van een tussen Montedison, ABN-AMRO en Transamerica getroffen schikking - de vorderingen van ABN-AMRO en Transamerica in het faillissement van Domp zullen worden ingetrokken. Daaruit heeft het Hof afgeleid dat de curator de grondslag van zijn vordering voor zover deze, kort gezegd, de gang van zaken rond Transamerica betreft niet handhaaft. Deze klacht faalt nu 's Hofs   rov. 4.22 in cassatie stand houdt zoals hiervoor onder 4.5.2 is overwogen."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.13.3 Onderdeel 12a keert zich in de derde plaats tegen 's Hofs oordeel in rov. 4.24, derde zin, waarin het Hof overweegt dat de curator tegenover de gemotiveerde be-twisting door Montedison, onvoldoende feiten heeft ge-steld waaruit kan volgen dat Montedison als werkgeefster van [oud-werknemer] aansprakelijk is voor de gewraakte handelingen van [oud-werknemer] die werden verricht in zijn hoedanigheid van procuratiehouder en commissaris van Domp, van bestuurder van of anderszins beleidsbepaler bij andere ""Fender ven-nootschappen"" of in privé. "
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"De curator heeft te dezer zake gesteld, samengevat weergegeven, (1) dat [oud-werknemer] van 1984 tot 5 maart 1991 in dienst was van Montedison en door toedoen van Montedison bij Domp is benoemd tot procuratiehouder en commissaris en uitsluitend door Montedison werd betaald; (2) dat [oud-werknemer] feitelijk degene was die het beleid binnen Domp bepaalde als gemachtigde van Montedison; (3) dat de transacties en onttrekkingen eind september/begin oktober 1988 hebben plaatsgevonden op aanwijzing van Montedison."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"4.13.4 Onderdeel 12b richt zich tegen 's Hofs oordeel in zijn rov. 4.27 dat de curator onvoldoende heeft aang-evoerd voor zijn stelling dat Montedison door middel van [oud-werknemer], als haar vertegenwoordiger of werknemer, het be-leid in Domp bepaalde. In het licht van de hiervoor in 4.13.3 weergegeven stellingen van de curator behoefde het bestreden oordeel van het Hof nadere motivering. Het on-derdeel treft derhalve doel."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,4.13.5 Hetzelfde geldt met betrekking tot onderdeel 12c dat 's Hofs oordeel in zijn  rov. 4.31 bestrijdt dat de curator onvoldoende heeft gesteld waaruit kan volgen dat Montedison als werkgeefster van [oud-werknemer] aansprakelijk is voor diens handelen in zijn hoedanigheid van commissaris van Domp.
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison,"5.1	Onderdeel A van het middel betreft de vaststelling door de Rechtbank in haar rov. 2.2 onder e dat Montedison in de loop van 1988 heeft besloten haar financiële belang in Domp te verminderen en haar aandelen in Domp te verko-pen en dat Montedison bij het opstellen van de plannen ter uitvoering van dit voornemen een bepalende rol heeft gespeeld. Daartegen heeft Montedison in hoger beroep aangevoerd - memorie van grieven p. 7, eerste volle ali-nea - dat niet juist is dat zij een bepalende rol heeft gespeeld bij het opstellen van de plannen ter uitvoering van haar voornemen tot de vermindering van haar financië-le belang in Domp."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,"MONTEDISON FINANCE EUROPE N.V., voorheen genaamd Montedison","28 april 2000 Eerste Kamer Nr. C99/087HR Hoge Raad der Nederlanden Arrest in de zaak van: [curator], in zijn hoedanigheid van curator in het faillissement van J. Domp B.V., wonende te [woonplaats], EISER tot cassatie, voorwaardelijk incidenteel verweerder,  advocaat: mr G. Snijders,  t e g e n MONTEDISON FINANCE EUROPE N.V., voorheen genaamd Montedison (Nederland) N.V.,   gevestigd te Rotterdam, [verweerder 1], zonder bekende woon- of verblijfplaats, [verweerder 2], wonende te [woonplaats], Italië, [verweerder 3], wonende te [woonplaats], Italië, VERWEERDERS in cassatie, voorwaardelijk incidenteel eisers, advocaat: mr R.S. Meijer. 1.Het geding in feitelijke instanties..."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,MONTEDISON,"28 april 2000 Eerste Kamer Nr. C99/087HR Hoge Raad der Nederlanden Arrest in de zaak van: [curator], in zijn hoedanigheid van curator in het faillissement van J. Domp B.V., wonende te [woonplaats], EISER tot cassatie, voorwaardelijk incidenteel verweerder,  advocaat: mr G. Snijders,  t e g e n MONTEDISON FINANCE EUROPE N.V., voorheen genaamd Montedison (Nederland) N.V.,   gevestigd te Rotterdam, [verweerder 1], zonder bekende woon- of verblijfplaats, [verweerder 2], wonende te [woonplaats], Italië, [verweerder 3], wonende te [woonplaats], Italië, VERWEERDERS in cassatie, voorwaardelijk incidenteel eisers, advocaat: mr R.S. Meijer. 1.Het geding in feitelijke instanties..."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,MONTEDISON,"MONTEDISON FINANCE EUROPE N.V., voorheen"
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison bij het terugbrengen van het belang van Montedison,"3.2	De curator heeft in dit geding gevorderd dat Montedison c.s. hoofdelijk zullen worden veroordeeld om aan de curator te betalen het tekort in het faillissement van Domp, althans tot vergoeding van schade op te maken bij staat. Deze vordering heeft de curator erop gegrond dat Montedison bij het terugbrengen van het belang van Montedison in Domp en bij het overdragen van haar aande-len aan Fender B.V. een bepalende rol heeft gespeeld. Montedison had, volgens de curator, door haar machtsposi-tie de leiding van Domp in handen. Aldus heeft Montedison zich haar lening aan Domp gedeeltelijk laten terugbetalen en bovendien / 4.799.000,-- aan het eigen vermogen van Domp onttrokken. Door deze handelingen is het eigen ver-mogen van Domp negatief geworden. Montedison en/of [oud-werknemer] hebben volgens de curator onrechtmatig gehandeld en zijn gehouden de daardoor ontstane schade te vergoeden. Subsi-diair heeft de curator aangevoerd dat Montedison en/of [oud-werknemer] zich, als degenen die feitelijk het beleid binnen Domp bepaalden, hebben schuldig gemaakt aan onbehoorlijk bestuur. Zij zijn op de voet van art. 2:248 BW gehouden het tekort aan te vullen. Voor zover de schade uitslui-tend door [oud-werknemer] zou zijn toegebracht is Montedison daar-voor volgens de curator aansprakelijk als degene in wier dienst [oud-werknemer] was. Meer subsidiair heeft de curator ge-steld dat [oud-werknemer] als commissaris van Domp onvoldoende toezicht heeft gehouden en daarom aansprakelijk is voor het tekort ingevolge art. 2:259 BW en dat Montedison ook hiervoor aansprakelijk is als degene in wier dienst [oud-werknemer] was."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison c.s. - gedagvaard voor de Rechtbank te Utrecht en gevorderd Montedison,"Eiser tot cassatie - verder te noemen: de curator - heeft bij exploiten van 29 juni 1992 verweerders in cas-satie B verder gezamenlijk te noemen: Montedison c.s. - gedagvaard voor de Rechtbank te Utrecht en gevorderd Montedison c.s., hoofdelijk des dat de een betalende de anderen bevrijd zullen zijn, te veroordelen om aan de curator te betalen het tekort in het faillissement van J. Domp B.V., althans schadevergoeding, een en ander na-der op te maken bij staat en te vereffenen volgens de wet, kosten rechtens. In de loop van de procedure heeft de curator zijn eis vermeerderd met wettelijke rente."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison en door toedoen van Montedison,"De curator heeft te dezer zake gesteld, samengevat weergegeven, (1) dat [oud-werknemer] van 1984 tot 5 maart 1991 in dienst was van Montedison en door toedoen van Montedison bij Domp is benoemd tot procuratiehouder en commissaris en uitsluitend door Montedison werd betaald; (2) dat [oud-werknemer] feitelijk degene was die het beleid binnen Domp bepaalde als gemachtigde van Montedison; (3) dat de transacties en onttrekkingen eind september/begin oktober 1988 hebben plaatsgevonden op aanwijzing van Montedison."
ECLI:NL:HR:2000:AA5658,ECLI:NL:HR:2000:AA5658,Montedison onrechtmatig heeft gehandeld. Het heeft Montedison,"Het Hof heeft de door de Rechtbank toegewezen vorde-ringen van de curator echter alsnog afgewezen. Het heeft, kort samengevat, geoordeeld dat niet kan worden gezegd dat Montedison onrechtmatig heeft gehandeld. Het heeft Montedison niet aansprakelijk geacht voor handelingen van [oud-werknemer]. Ook voor zover de vordering van de curator was gegrond op onbehoorlijk bestuur heeft het Hof haar afge-wezen."
